file,class,status
data\raw\hagrid\help\04123eeb-e07f-47a1-8080-31e0c39e0c1e.jpg,help,ok
data\raw\hagrid\help\0437f4e9-c6ab-41d0-b27e-fdf08962c05b.jpg,help,ok
data\raw\hagrid\help\04538748-b761-4bcf-a30f-9e79b4592822.jpg,help,ok
data\raw\hagrid\help\048415db-a88b-42f1-bafb-ac8caf2ec116.jpg,help,ok
data\raw\hagrid\help\04a97394-1590-4cf6-98da-a47ed7eb9054.jpg,help,ok
data\raw\hagrid\help\04dbae35-279c-4c4c-9755-dd6c21037e46.jpg,help,ok
data\raw\hagrid\help\05051be5-fcee-4a69-8f7c-1869f2624a43.jpg,help,ok
data\raw\hagrid\help\05206300-54ed-45fe-bc42-c2807588112c.jpg,help,ok
data\raw\hagrid\help\053dfdb5-6b8b-4430-b70e-b63a4d2fc3c9.jpg,help,ok
data\raw\hagrid\help\056ad3a0-56d5-49e1-8430-3cb025b9959a.jpg,help,ok
data\raw\hagrid\help\05870a38-6361-4713-bc9f-c4a5631ef19b.jpg,help,ok
data\raw\hagrid\help\05a82060-ad55-4b65-aac9-462d3153e857.jpg,help,ok
data\raw\hagrid\help\05d86911-774d-41cf-b330-dfef5d12c48e.jpg,help,ok
data\raw\hagrid\help\06029227-735a-4f34-a598-350f72eea3d4.jpg,help,ok
data\raw\hagrid\help\062d6695-77ef-4659-aa41-ac5677779a8c.jpg,help,ok
data\raw\hagrid\help\06453c3c-cbda-4483-8ce5-9a34ddabb983.jpg,help,ok
data\raw\hagrid\help\0670b408-8429-4014-a559-e64bc238852f.jpg,help,ok
data\raw\hagrid\help\069fb55b-6489-43c2-b0d6-0065ef293c46.jpg,help,ok
data\raw\hagrid\help\06d3e2d2-24b0-4b97-a435-fcaab5059df7.jpg,help,ok
data\raw\hagrid\help\0702223a-074e-4eb3-8264-7db363d18d6d.jpg,help,ok
data\raw\hagrid\help\072150ee-71d0-4fcc-aa0b-6f2a267f1e40.jpg,help,ok
data\raw\hagrid\help\07474b51-3a8f-4998-837c-4dc73cb1864e.jpg,help,ok
data\raw\hagrid\help\0776215b-dee3-414c-987d-06ddf228c770.jpg,help,failed_detection
data\raw\hagrid\help\079e6f7f-8b73-4b1e-9d4f-18d0477766d8.jpg,help,ok
data\raw\hagrid\help\07c90568-a1fe-499e-94c0-2c38c8575fad.jpg,help,ok
data\raw\hagrid\help\07edccb2-83b8-4787-bbc1-7f93e436a4f6.jpg,help,ok
data\raw\hagrid\help\0811bc98-8faf-4f93-ac06-c6ee58ff533e.jpg,help,ok
data\raw\hagrid\help\083436bc-bf9b-4270-91d3-fd7ab063b837.jpg,help,failed_detection
data\raw\hagrid\help\08575a7f-4fde-4e72-abf1-e579a0d086ae.jpg,help,ok
data\raw\hagrid\help\087b448d-5e5f-4421-bb8e-ec1ecb9f24b6.jpg,help,ok
data\raw\hagrid\help\088f455a-7e4c-47d9-9e76-1413d8f98bcc.jpg,help,ok
data\raw\hagrid\help\08b2a330-83a3-4e64-a6ed-fea1680a08a7.jpg,help,ok
data\raw\hagrid\help\08d24b68-7fac-4496-8c81-d7156adb9e30.jpg,help,ok
data\raw\hagrid\help\08fa5c96-882f-490e-ac52-dc3efecf34c6.jpg,help,ok
data\raw\hagrid\help\09266f5b-87aa-4f80-9f9d-326135925aee.jpg,help,ok
data\raw\hagrid\help\095226c0-b875-436a-89fb-83917f14a5ae.jpg,help,ok
data\raw\hagrid\help\097f40fc-db0f-4335-8161-05e93f2adb4a.jpg,help,ok
data\raw\hagrid\help\099b0b79-2bba-4441-95a3-12992f02ddc3.jpg,help,ok
data\raw\hagrid\help\09c794d2-865c-4450-956b-295a6fd0e473.jpg,help,ok
data\raw\hagrid\help\09f49140-96f2-4814-9df3-097dcde6aa1d.jpg,help,failed_detection
data\raw\hagrid\help\0a1cbe0d-ce68-4228-8a08-9a9a54c59713.jpg,help,failed_detection
data\raw\hagrid\help\0a3db7fb-33ab-484c-86af-4fbadb0876d4.jpg,help,ok
data\raw\hagrid\help\0a5b55b3-17f9-4d46-baa6-f3d642bda47b.jpg,help,ok
data\raw\hagrid\help\0a8c11d9-d0e9-419b-92ae-cad87df50cb6.jpg,help,ok
data\raw\hagrid\help\0abbc1ea-359c-4b7e-ac75-b823fe947b43.jpg,help,ok
data\raw\hagrid\help\0ae33a4d-1895-4608-b8c1-891fb670a01d.jpg,help,ok
data\raw\hagrid\help\0afdf8ea-d59c-4ca4-9f63-985e21a82673.jpg,help,ok
data\raw\hagrid\help\0b205d0c-ccf6-4874-9d6a-a20e7d496236.jpg,help,ok
data\raw\hagrid\help\0b4bde7b-7b5d-4a8a-b8c6-b876aea35e03.jpg,help,ok
data\raw\hagrid\help\0b6802c8-43bd-4d94-bf8b-24174eff9ae6.jpg,help,ok
data\raw\hagrid\help\0b95b8f2-6781-415f-88d7-884c0d5f3b49.jpg,help,ok
data\raw\hagrid\help\0bba339d-ccb8-49c6-ba06-240970568854.jpg,help,failed_detection
data\raw\hagrid\help\0bd281b2-cd83-407c-843c-d93272da8c8e.jpg,help,ok
data\raw\hagrid\help\0c07153f-ab1e-4e09-a853-c279f91a2c44.jpg,help,ok
data\raw\hagrid\help\0c2325bb-a5d6-47d9-8048-4bbb228dcdc8.jpg,help,ok
data\raw\hagrid\help\0c4da5a8-6e10-42b8-9318-65b1d21d1a10.jpg,help,ok
data\raw\hagrid\help\0c749f76-4861-4499-a57f-ce8fa81bf803.jpg,help,ok
data\raw\hagrid\help\0c906868-ab08-41d9-a7c4-871db8ff302f.jpg,help,ok
data\raw\hagrid\help\0cb156d4-9867-4d47-956b-fb9a70fcf6a9.jpg,help,ok
data\raw\hagrid\help\0ce06072-64ec-4839-bff3-7fff725c1bd9.jpg,help,ok
data\raw\hagrid\help\0d03db75-fb93-4ef0-8104-d55c6ded3975.jpg,help,ok
data\raw\hagrid\help\0d2ae3e8-1637-44cb-a64f-b583b2022b5a.jpg,help,ok
data\raw\hagrid\help\0d53dcf6-211b-4055-a383-1543e51c3457.jpg,help,ok
data\raw\hagrid\help\0d6fdcd2-3bcb-4ddb-96f5-41308ffd2a27.jpg,help,failed_detection
data\raw\hagrid\help\0d8e7d65-5007-4a7d-a875-1f88a7bb092b.jpg,help,ok
data\raw\hagrid\help\0dbac752-b6af-4702-95a3-95f9d436c631.jpg,help,ok
data\raw\hagrid\help\0deb8450-687c-4980-a7bb-2ddb71e7cae1.jpg,help,failed_detection
data\raw\hagrid\help\0e125bd3-5be8-46f4-a6c1-c944d1e86923.jpg,help,ok
data\raw\hagrid\help\0e3da037-b4eb-4537-8cfe-e6fe1e9e4688.jpg,help,ok
data\raw\hagrid\help\0e6278dd-ead0-4a90-9ea4-11960f2d74ff.jpg,help,ok
data\raw\hagrid\help\0e8db6d7-04c2-4fd0-8c7a-7aced03e39d3.jpg,help,ok
data\raw\hagrid\help\0eae3ec2-f91e-4de5-ac97-6c2435443c98.jpg,help,ok
data\raw\hagrid\help\0ed6f66d-1f8d-442f-92c3-935357fd10d4.jpg,help,ok
data\raw\hagrid\help\0ef0c09d-cb36-4e7e-b8c6-e46dd0921bc1.jpg,help,ok
data\raw\hagrid\help\0f1e5dcc-7e69-4276-bd18-2873cc09fed9.jpg,help,ok
data\raw\hagrid\help\0f45b83a-3ff6-45cc-805f-4c4729d21849.jpg,help,ok
data\raw\hagrid\help\0f6930ef-5d7b-40de-949f-6385f5782dca.jpg,help,ok
data\raw\hagrid\help\0f97fede-ef97-41c8-882e-7affcdfe5b08.jpg,help,ok
data\raw\hagrid\help\0fcb9b8d-e41b-437f-ba09-000a75b25669.jpg,help,ok
data\raw\hagrid\help\0fe7b9b8-ab85-4c2d-a2ba-ccb3bc6d0f70.jpg,help,ok
data\raw\hagrid\help\0ffa62d6-137e-41e5-9261-ad535b7960bb.jpg,help,ok
data\raw\hagrid\help\10165e97-2470-46e5-bdf7-8bcbc798b487.jpg,help,ok
data\raw\hagrid\help\10398986-dbd2-42c3-afa5-d541a8a07f9d.jpg,help,ok
data\raw\hagrid\help\10703e9f-067a-40d3-ab0d-3f343527b630.jpg,help,ok
data\raw\hagrid\help\109becf2-9f76-4641-b4a1-301d9fca01c8.jpg,help,failed_detection
data\raw\hagrid\help\10c151ae-4fe1-4f2e-88db-65f49dfbd5f3.jpg,help,ok
data\raw\hagrid\help\10ee92ca-3c93-4a2b-9f38-871ebc390b8d.jpg,help,ok
data\raw\hagrid\help\110880bd-9069-4df4-9479-8bc8f469acee.jpg,help,ok
data\raw\hagrid\help\11241016-dd2e-43fd-9bb1-ac2f2aa2c08a.jpg,help,ok
data\raw\hagrid\help\114614a3-d5a4-43a5-811a-24bec4a00754.jpg,help,ok
data\raw\hagrid\help\1169d517-9d1d-4fc3-9c63-ee3833a1c6bb.jpg,help,failed_detection
data\raw\hagrid\help\11947269-b5b5-44df-b428-832d90775d4e.jpg,help,ok
data\raw\hagrid\help\11b95448-72e9-41a4-8d53-637c33093739.jpg,help,ok
data\raw\hagrid\help\11db5315-7b25-4d9e-8a24-588281de3530.jpg,help,ok
data\raw\hagrid\help\11fea228-3e5c-44f0-aa08-d1f902a2a938.jpg,help,ok
data\raw\hagrid\help\121ab4e8-703e-4420-87d6-fccd2d06e981.jpg,help,ok
data\raw\hagrid\help\123d596a-3b6b-4139-9433-4d276cb26986.jpg,help,ok
data\raw\hagrid\help\1264a790-6691-4716-b6cc-679b328ad5bf.jpg,help,ok
data\raw\hagrid\help\12862b30-57fb-4124-b885-d7f98f2676bf.jpg,help,ok
data\raw\hagrid\help\12a0852a-275f-4d41-b495-4a29e88b4223.jpg,help,ok
data\raw\hagrid\help\12c3a2fd-0e65-4321-9c39-65fccfac769a.jpg,help,failed_detection
data\raw\hagrid\help\12e0327b-e357-4faa-8e48-324ec12f9bb3.jpg,help,ok
data\raw\hagrid\help\130204f0-0cf6-46ed-b3b1-acb2ebd932bd.jpg,help,ok
data\raw\hagrid\help\132bede4-4472-4a4e-8335-0fa866816010.jpg,help,ok
data\raw\hagrid\help\1361b239-8894-4c76-be6b-5cdee32ae97a.jpg,help,ok
data\raw\hagrid\help\1398ba88-6d68-4dc7-b363-9c0d8ecb0631.jpg,help,ok
data\raw\hagrid\help\13bdddf9-3d82-45c6-b4f7-bb1da80ad744.jpg,help,ok
data\raw\hagrid\help\13e133db-e1c9-4b84-94f1-5a5ccca1d218.jpg,help,failed_detection
data\raw\hagrid\help\1412d933-c34a-48fe-a00d-bb090eb06bba.jpg,help,ok
data\raw\hagrid\help\143d0bd1-bece-4765-873b-0e694d46528a.jpg,help,ok
data\raw\hagrid\help\14543881-e3d6-4d5f-a8ca-62bb799bf185.jpg,help,ok
data\raw\hagrid\help\146ed49d-c874-450e-bcb4-88b5cbe67846.jpg,help,ok
data\raw\hagrid\help\14a4d2b7-0a55-48e9-b4b5-a2772b72f1f9.jpg,help,ok
data\raw\hagrid\help\14c86362-309b-450d-919c-7a6929413825.jpg,help,ok
data\raw\hagrid\help\14e46955-2769-4301-a52a-7f271881c005.jpg,help,ok
data\raw\hagrid\help\15157584-98d3-4cba-948e-eb4f49dd9c09.jpg,help,ok
data\raw\hagrid\help\152e3b28-ae9d-4d9f-915f-0c0c5ed4335f.jpg,help,ok
data\raw\hagrid\help\154d4db7-7405-4855-8277-e75249fc3429.jpg,help,ok
data\raw\hagrid\help\15757443-3c84-4952-a35b-e62672a72027.jpg,help,ok
data\raw\hagrid\help\159e1c2d-5473-4db2-a9d7-ae91c8fcc1ab.jpg,help,ok
data\raw\hagrid\help\15c03a9a-31d9-46d5-8238-8d50cdfff306.jpg,help,ok
data\raw\hagrid\help\15ee4e06-2f61-4e65-b62d-ad04766a8b73.jpg,help,ok
data\raw\hagrid\help\161dc392-a327-45c7-87c7-83442b47572f.jpg,help,ok
data\raw\hagrid\help\1633de00-149b-4ef9-a3c9-1d0a8b844d41.jpg,help,ok
data\raw\hagrid\help\164ce9a4-c76c-4098-af2e-75f091b157fc.jpg,help,ok
data\raw\hagrid\help\1671d247-d5a2-4b4a-bd82-98ed0378b6a7.jpg,help,ok
data\raw\hagrid\help\16891e08-7ea1-4b71-8510-4811b4d9e62a.jpg,help,ok
data\raw\hagrid\help\16b4b4fe-2dce-42b3-b3f6-7c74824a423f.jpg,help,ok
data\raw\hagrid\help\16e5c13c-b3b7-4605-8b4e-3a0318a577fa.jpg,help,ok
data\raw\hagrid\help\17105cfa-28fe-43a6-a580-0fcc74f29229.jpg,help,ok
data\raw\hagrid\help\1741a6da-c70d-4fd7-9d37-a41cb5d80a0b.jpg,help,ok
data\raw\hagrid\help\17690ca4-18f7-45c7-806c-9c3e121bce7d.jpg,help,ok
data\raw\hagrid\help\1787e1e0-f23c-4534-b622-3dfda54bf41d.jpg,help,ok
data\raw\hagrid\help\17a00eb2-b7a2-4d5c-a95c-6684a2d26310.jpg,help,ok
data\raw\hagrid\help\17b7e9b7-9bb5-4640-b271-001812a4056f.jpg,help,ok
data\raw\hagrid\help\17e430e7-e274-482a-a80c-e40a0df1d5e7.jpg,help,ok
data\raw\hagrid\help\180e0641-0bdf-4df5-adb5-2ab6d47c22ce.jpg,help,ok
data\raw\hagrid\help\182c87a9-d704-471e-bb99-18f7a92c94b4.jpg,help,ok
data\raw\hagrid\help\185400dc-2132-4a23-b9cd-5c62078e50f8.jpg,help,ok
data\raw\hagrid\help\187fcf22-a2cd-4c20-873c-fa17f5ec0715.jpg,help,ok
data\raw\hagrid\help\18a9907b-829a-43e6-af27-0e90d0d07b02.jpg,help,ok
data\raw\hagrid\help\18da4a71-2dab-4dd5-a112-d37d3e77b1b4.jpg,help,ok
data\raw\hagrid\help\18f2b025-4324-4cec-9ee9-7d27296b90a9.jpg,help,ok
data\raw\hagrid\help\1909a291-b226-46b1-b783-2100138251d0.jpg,help,ok
data\raw\hagrid\help\1933fac8-f607-4471-9de3-fa37e9d07424.jpg,help,ok
data\raw\hagrid\help\195b4808-27cf-44a7-a44c-b9961e08100d.jpg,help,ok
data\raw\hagrid\help\19829b9f-409e-4988-9a27-cf137a5d5ae6.jpg,help,ok
data\raw\hagrid\help\199ff258-19e3-4542-8cb0-5a9428097104.jpg,help,ok
data\raw\hagrid\help\19cc9ade-981f-410d-9c5b-b86367dae074.jpg,help,ok
data\raw\hagrid\help\19fdbe7e-0eb5-44e7-ac97-958303eb6776.jpg,help,ok
data\raw\hagrid\help\1a187fff-d107-45ca-afa0-1dd008892387.jpg,help,failed_detection
data\raw\hagrid\help\1a3dfcee-a986-49ce-bbf6-c8c2a41a63a7.jpg,help,ok
data\raw\hagrid\help\1a685640-db6c-44b4-a2d7-c65f678a067f.jpg,help,ok
data\raw\hagrid\help\1a92d999-b484-43a5-9996-7febed750981.jpg,help,failed_detection
data\raw\hagrid\help\1abf98f5-69c3-43aa-acd1-b202a3b7ad57.jpg,help,ok
data\raw\hagrid\help\1ae13236-b833-4a21-a644-e77a8c07d21f.jpg,help,ok
data\raw\hagrid\help\1b0517d2-8e73-46b9-93ac-cf99d1dcbea3.jpg,help,ok
data\raw\hagrid\help\1b20f3db-c7bf-450e-8824-bfbc129ffc37.jpg,help,ok
data\raw\hagrid\help\1b495ba5-4169-4134-ad6a-2a5769348eec.jpg,help,ok
data\raw\hagrid\help\1b6bfa88-395f-4ca6-a6cd-d7379c3a5791.jpg,help,ok
data\raw\hagrid\help\1b89d748-2b4c-4bb0-9906-7c75cf960e73.jpg,help,failed_detection
data\raw\hagrid\help\1ba3f27a-2c97-4f7d-a735-00ec2ea6cf4a.jpg,help,ok
data\raw\hagrid\help\1bc8becf-b3c8-4bd3-ae8c-2fd5dec28c40.jpg,help,ok
data\raw\hagrid\help\1beb3458-e5f2-429d-b69e-20b9b7d351a7.jpg,help,ok
data\raw\hagrid\help\1c183c24-c7a3-43de-84bf-d81b0b10fed0.jpg,help,ok
data\raw\hagrid\help\1c387f47-c0f7-47ad-9243-92c364b0e9fc.jpg,help,ok
data\raw\hagrid\help\1c5bd90d-7677-4b13-bcbb-48ab4c930a6f.jpg,help,ok
data\raw\hagrid\help\1c8bafac-fe5f-459a-b3e1-e761615b9675.jpg,help,ok
data\raw\hagrid\help\1ca59dc3-c187-4bde-8f74-95a5ecb0d384.jpg,help,ok
data\raw\hagrid\help\1cbbd538-427d-4855-be77-5c8eba43db1b.jpg,help,ok
data\raw\hagrid\help\1cddde68-67c4-4cc2-936c-faca9ac80f06.jpg,help,ok
data\raw\hagrid\help\1d060ace-dde7-4ec2-9331-b5b1c4ba963f.jpg,help,ok
data\raw\hagrid\help\1d260f91-7d8d-4b37-984b-8d62526a790f.jpg,help,ok
data\raw\hagrid\help\1d4ae6e1-0b28-4e5e-acfc-bb6a73da28d9.jpg,help,ok
data\raw\hagrid\help\1d709580-e0a5-4ded-a368-f71eef223bd6.jpg,help,ok
data\raw\hagrid\help\1d9fbdc1-051f-47bf-982e-6dcf6e8c90a3.jpg,help,failed_detection
data\raw\hagrid\help\1dce1188-ab8f-4176-9b04-0d06ea03f481.jpg,help,ok
data\raw\hagrid\help\1df4b07e-2638-4a05-b821-fccdb607415c.jpg,help,ok
data\raw\hagrid\help\1e12e3d2-67bd-4da8-a1aa-5c7e0f10fdb3.jpg,help,ok
data\raw\hagrid\help\1e33a66e-cbad-4312-9398-fce4080f6776.jpg,help,ok
data\raw\hagrid\help\1e597dda-90ea-4f60-b888-b05928ccf584.jpg,help,ok
data\raw\hagrid\help\1e6f597b-b600-4864-88ac-5d84bea1661d.jpg,help,ok
data\raw\hagrid\help\1ea97fcc-5e66-4e42-8012-71dc42c2124c.jpg,help,ok
data\raw\hagrid\help\1ecc4dcc-0f4a-47c8-9613-7cebbe70ecb0.jpg,help,ok
data\raw\hagrid\help\1f01e6dc-b06e-4220-a88e-3623af0ff4f6.jpg,help,ok
data\raw\hagrid\help\1f2d786d-bd37-4ada-a378-e2d9b92e4239.jpg,help,ok
data\raw\hagrid\help\1f4c1721-0834-41eb-bb71-598bcba63b6b.jpg,help,ok
data\raw\hagrid\help\1f6e5d33-af44-4f89-a509-49077bb14456.jpg,help,ok
data\raw\hagrid\help\1f93dc1b-f833-40e3-90e9-70f82d122ee8.jpg,help,ok
data\raw\hagrid\help\1fb29ab1-3ea6-44e6-a868-c6c2e4faf472.jpg,help,ok
data\raw\hagrid\help\1fd8887b-3e83-4571-a006-ab88f84b7ffe.jpg,help,ok
data\raw\hagrid\help\1ff84ee7-29fd-4582-aede-a3bdfe9db4e1.jpg,help,ok
data\raw\hagrid\help\2017a77d-35d5-4d80-bf16-b30c3c39d5bc.jpg,help,ok
data\raw\hagrid\help\203735ca-f0ee-41d6-9c54-4ff7da98e3e2.jpg,help,ok
data\raw\hagrid\help\205b9574-4c00-4395-ad8c-6086179fe8af.jpg,help,ok
data\raw\hagrid\help\20811b83-299e-4b30-9991-a4035577d9d1.jpg,help,ok
data\raw\hagrid\help\20b10bbd-ae6d-432f-965f-4bc2249b9b54.jpg,help,failed_detection
data\raw\hagrid\help\20d204d5-fef8-4d8c-9164-da307ac27c7b.jpg,help,ok
data\raw\hagrid\help\20eb88c1-2ae2-46f8-8b90-867cea5074ac.jpg,help,failed_detection
data\raw\hagrid\help\2113006c-4fc5-4898-a959-35df25913605.jpg,help,ok
data\raw\hagrid\help\212f53aa-8ef9-48eb-9f77-6c387b24cfea.jpg,help,ok
data\raw\hagrid\help\214d815a-cf46-41df-aab0-acb4995665c9.jpg,help,ok
data\raw\hagrid\help\218ba6ee-534d-4163-96ea-b87137f3243b.jpg,help,ok
data\raw\hagrid\help\21b8aee3-5723-4436-bffb-e0d5b41ddd50.jpg,help,ok
data\raw\hagrid\help\21e21e07-fd9e-4dc0-89ea-e985d6f8ee54.jpg,help,ok
data\raw\hagrid\help\2204518c-446d-401c-b53e-0f41a4c0e0df.jpg,help,ok
data\raw\hagrid\help\222c3003-3714-4900-8c16-9fdef3ad2e1a.jpg,help,ok
data\raw\hagrid\help\22625aa3-8e5d-4572-8025-63c599c53b70.jpg,help,ok
data\raw\hagrid\help\2297775e-6727-482d-93d7-6e55f277ff5d.jpg,help,ok
data\raw\hagrid\help\22ba1a6b-3f24-46ed-b8d2-eb283ea3dbd8.jpg,help,ok
data\raw\hagrid\help\22e481c0-e5e8-4bcb-88ee-7b764f31c25c.jpg,help,ok
data\raw\hagrid\help\23019016-a45e-40c9-97f4-02eab742baaf.jpg,help,failed_detection
data\raw\hagrid\help\23341813-6515-48e6-bf73-7063fb500df2.jpg,help,ok
data\raw\hagrid\help\23678984-7190-478e-acb7-ee0f72da8d5a.jpg,help,ok
data\raw\hagrid\help\238cc805-e0e9-44e3-a974-e08a3e94cbf3.jpg,help,ok
data\raw\hagrid\help\23a94102-a79b-4ef4-bc07-d73c283834a2.jpg,help,ok
data\raw\hagrid\help\23d81809-ea87-471a-aca6-0de916ceb55a.jpg,help,ok
data\raw\hagrid\help\24020442-82f2-457b-84fe-7f7e1b150e30.jpg,help,ok
data\raw\hagrid\help\242cbdc9-1244-4a43-bd08-df8724804d0e.jpg,help,ok
data\raw\hagrid\help\245f045f-1005-4d5f-90ff-6edc64c59d6a.jpg,help,ok
data\raw\hagrid\help\24984cea-2d15-436c-86f4-b173c13f9520.jpg,help,failed_detection
data\raw\hagrid\help\24c68c60-cb8c-40ba-9e24-40fa6de67b46.jpg,help,ok
data\raw\hagrid\help\24e12854-754a-4a16-b3a5-90bf6ef7c899.jpg,help,ok
data\raw\hagrid\help\2509acc4-c5f7-453b-ae14-15c2d404d2be.jpg,help,ok
data\raw\hagrid\help\25341d30-21a2-4975-aedc-eb58feba0e86.jpg,help,ok
data\raw\hagrid\help\2554789a-b052-4fac-b6c4-31c1cc660ad6.jpg,help,failed_detection
data\raw\hagrid\help\2574b0b8-305f-4a8a-a7d6-1d8bc7cad4c7.jpg,help,ok
data\raw\hagrid\help\2592caaa-ea2e-4bf3-a3a8-4c88f95a7974.jpg,help,ok
data\raw\hagrid\help\25b092f5-c1cc-493d-a6f9-1825c9712462.jpg,help,ok
data\raw\hagrid\help\25d81e6e-a7a1-47ca-a34b-b230f8b1cbeb.jpg,help,ok
data\raw\hagrid\help\26053bae-0a3f-4413-a397-ded73da56662.jpg,help,ok
data\raw\hagrid\help\261af779-2fee-449f-810b-a2b3694e01b6.jpg,help,ok
data\raw\hagrid\help\2641c5e2-ba66-4e59-a46c-60b2cb3e7b92.jpg,help,ok
data\raw\hagrid\help\266c3b4a-3ee1-4e5e-b7e7-7848376f5dd9.jpg,help,ok
data\raw\hagrid\help\26876296-3f9f-4186-b667-f9851310fd31.jpg,help,ok
data\raw\hagrid\help\26bce0dd-ef27-4d2f-afeb-3b52acd738c8.jpg,help,failed_detection
data\raw\hagrid\help\26e3e903-2527-4e32-8c77-bb953118dd42.jpg,help,ok
data\raw\hagrid\help\270a6cfb-41a5-4cf2-a593-db00ac5c4b53.jpg,help,ok
data\raw\hagrid\help\2743a0ab-a3e1-4b64-b866-e3897f330621.jpg,help,ok
data\raw\hagrid\help\275d5271-cf61-4fa9-bf6a-7af4dbc455ae.jpg,help,ok
data\raw\hagrid\help\27717e3a-1e8f-401c-9db8-112b66d3bd47.jpg,help,ok
data\raw\hagrid\help\27949a0d-c87e-4820-b0b9-2e7265dcdb28.jpg,help,ok
data\raw\hagrid\help\27b81b82-bb87-44e1-972b-d7e31cc3766b.jpg,help,ok
data\raw\hagrid\help\27e7761f-4aed-4dad-9223-46b2df41abe7.jpg,help,ok
data\raw\hagrid\help\28108f14-555e-4bc0-b19b-e5053ced6437.jpg,help,ok
data\raw\hagrid\help\2836e5d1-3200-4ac6-ad38-2212a863e651.jpg,help,ok
data\raw\hagrid\help\285f396f-633c-4c5f-b8ac-4bd1de905ade.jpg,help,ok
data\raw\hagrid\help\28763b0c-fdee-4ebc-bfd4-c2deae535753.jpg,help,ok
data\raw\hagrid\help\28a7afec-4d1a-436f-a34f-6c1fa1144b9e.jpg,help,ok
data\raw\hagrid\help\28d22e95-64a5-4a23-96af-ec35b57b8b2c.jpg,help,ok
data\raw\hagrid\help\28f44c28-0e4b-4904-809a-b0dea269a58e.jpg,help,ok
data\raw\hagrid\help\291c9fd7-1fcf-40fc-9dc7-7b82f5b7ddc6.jpg,help,ok
data\raw\hagrid\help\293a2680-2b48-4849-bb60-8bd33052d34a.jpg,help,ok
data\raw\hagrid\help\2958f270-7132-45f7-9cf3-0b4b54615392.jpg,help,ok
data\raw\hagrid\help\297e1965-e9f2-4dce-8123-085386b6b5d4.jpg,help,ok
data\raw\hagrid\help\299fe646-0466-4c5f-910a-f6cb983b3c0e.jpg,help,failed_detection
data\raw\hagrid\help\29b9208b-0667-4b6f-91f2-56c53201f953.jpg,help,ok
data\raw\hagrid\help\29e0b44d-b246-48bb-be91-ab2e47f046eb.jpg,help,ok
data\raw\hagrid\help\2a1c4a2a-8a26-458f-af1c-b2ac4c740d99.jpg,help,ok
data\raw\hagrid\help\2a521376-9e3d-4b3f-918c-b37a0d9b7b0c.jpg,help,ok
data\raw\hagrid\help\2a700a41-9e4f-4b6e-91f6-ef581653649d.jpg,help,failed_detection
